"altersgruppe";"freq";"date"
"15-24";329;2020-03-22 15:15:00
"25-34";550;2020-03-22 15:15:00
"35-44";521;2020-03-22 15:15:00
"45-54";746;2020-03-22 15:15:00
"55-64";519;2020-03-22 15:15:00
">64";565;2020-03-22 15:15:00
"<5";7;2020-03-22 15:30:00
"5-14";45;2020-03-22 15:30:00
"15-24";329;2020-03-22 15:30:00
"25-34";550;2020-03-22 15:30:00
"35-44";521;2020-03-22 15:30:00
"45-54";747;2020-03-22 15:30:00
"55-64";520;2020-03-22 15:30:00
">64";566;2020-03-22 15:30:00
"<5";7;2020-03-22 15:45:00
"5-14";45;2020-03-22 15:45:00
"15-24";330;2020-03-22 15:45:00
"25-34";549;2020-03-22 15:45:00
"35-44";521;2020-03-22 15:45:00
"45-54";747;2020-03-22 15:45:00
"55-64";521;2020-03-22 15:45:00
">64";568;2020-03-22 15:45:00
"<5";7;2020-03-22 16:00:00
"5-14";46;2020-03-22 16:00:00
"15-24";331;2020-03-22 16:00:00
"25-34";552;2020-03-22 16:00:00
"35-44";521;2020-03-22 16:00:00
"45-54";750;2020-03-22 16:00:00
"55-64";524;2020-03-22 16:00:00
">64";571;2020-03-22 16:00:00
"<5";7;2020-03-22 16:15:00
"5-14";46;2020-03-22 16:15:00
"15-24";335;2020-03-22 16:15:00
"25-34";558;2020-03-22 16:15:00
"35-44";533;2020-03-22 16:15:00
"45-54";764;2020-03-22 16:15:00
"55-64";534;2020-03-22 16:15:00
">64";583;2020-03-22 16:15:00
"<5";7;2020-03-22 16:30:00
"5-14";48;2020-03-22 16:30:00
"15-24";336;2020-03-22 16:30:00
"25-34";558;2020-03-22 16:30:00
"35-44";533;2020-03-22 16:30:00
"45-54";768;2020-03-22 16:30:00
"55-64";539;2020-03-22 16:30:00
">64";584;2020-03-22 16:30:00
"<5";7;2020-03-22 16:45:00
"5-14";49;2020-03-22 16:45:00
"15-24";336;2020-03-22 16:45:00
"25-34";558;2020-03-22 16:45:00
"35-44";533;2020-03-22 16:45:00
"45-54";769;2020-03-22 16:45:00
"55-64";539;2020-03-22 16:45:00
">64";584;2020-03-22 16:45:00
"<5";7;2020-03-22 17:00:00
"5-14";49;2020-03-22 17:00:00
"15-24";336;2020-03-22 17:00:00
"25-34";558;2020-03-22 17:00:00
"35-44";533;2020-03-22 17:00:00
"45-54";769;2020-03-22 17:00:00
"55-64";540;2020-03-22 17:00:00
">64";584;2020-03-22 17:00:00
"<5";7;2020-03-22 17:15:00
"5-14";52;2020-03-22 17:15:00
"15-24";337;2020-03-22 17:15:00
"25-34";561;2020-03-22 17:15:00
"35-44";535;2020-03-22 17:15:00
"45-54";772;2020-03-22 17:15:00
"55-64";544;2020-03-22 17:15:00
">64";586;2020-03-22 17:15:00
"<5";7;2020-03-22 17:30:00
"5-14";52;2020-03-22 17:30:00
"15-24";337;2020-03-22 17:30:00
"25-34";562;2020-03-22 17:30:00
"35-44";536;2020-03-22 17:30:00
